,userId,contentid,rating,contenttypeid,areacode
0,zbfihpbc@google.com,2674277,2,39,31
1,dttcguev@google.com,127530,2,12,36
2,luhh@google.com,126220,2,12,35
3,txqs7@google.com,134326,5,39,6
4,rtgkmj7@google.com,127614,2,12,31
5,iutzlqq20@google.com,2435653,2,39,4
6,mwyqc972@google.com,2606138,5,12,37
7,meoow1@google.com,1624486,5,12,7
8,bseltjg@google.com,2696456,4,32,6
9,khgo2933@google.com,2533432,3,32,5
10,jlwg3@google.com,608424,1,39,31
11,tbptwm960@google.com,128084,0,12,38
12,atshy@google.com,129131,4,12,34
13,gttnr5130@google.com,1586632,4,12,37
14,nvakpgg@google.com,2554147,1,12,2
15,xwtwqw@google.com,2599344,0,32,35
16,sqohwjf5487@google.com,2605829,1,12,35
17,kopomw6925@google.com,127106,1,12,36
18,japlg@google.com,2651240,5,32,6
19,cuje8@google.com,643049,2,39,38
20,pubchy4968@google.com,2685296,5,39,1
21,aqjyicx247@google.com,1761643,1,14,4
22,ekbby0627@google.com,2581074,4,39,7
23,gesaqgc7@google.com,2016978,4,32,31
24,hvas@google.com,649670,0,39,38
25,uoddnajs440@google.com,129421,1,12,35
26,ktulyl196@google.com,133164,4,39,36
27,dqwwltyw1@google.com,1953948,3,12,2
28,lywfatcu1@google.com,664204,1,39,39
29,ueyzjtom59@google.com,2383578,4,14,35
30,vsby6@google.com,2661848,5,28,39
31,damdqz55@google.com,1869305,4,32,39
32,lpwybbs@google.com,2663542,4,39,1
33,vwteqah@google.com,1870538,0,39,31
34,iaicdqo7@google.com,134470,3,39,32
35,tkmagg02@google.com,137360,4,32,35
36,dwav75@google.com,1433244,5,32,35
37,yoomgm853@google.com,1747883,5,32,2
38,ycqx8@google.com,126166,2,12,35
39,pomk3043@google.com,128350,1,12,31
40,xfphnxhi@google.com,1904623,2,28,32
41,raxsvtx4@google.com,733684,0,32,39
42,jpuop36@google.com,2679301,2,39,35
43,geyav@google.com,252529,1,12,1
44,oukwuywi0714@google.com,131293,2,28,33
45,ggwuf@google.com,130219,0,14,2
46,gduxolto0990@google.com,126974,5,12,38
47,aqjyicx247@google.com,2607147,3,12,34
48,zzfx617@google.com,130303,5,14,1
49,oimgjlfq6@google.com,2670894,0,39,31
50,hegwtbhr0054@google.com,140880,5,15,34
51,lbsq0235@google.com,130976,1,14,32
52,uaipid@google.com,2669957,2,39,1
53,gugdgp82@google.com,2553063,1,39,38
54,urbmkh768@google.com,131701,0,28,31
55,fscinqd683@google.com,128578,0,12,38
56,ckrkcb024@google.com,2714284,2,14,1
57,tyvnzbxf8954@google.com,1367177,0,39,38
58,tucns@google.com,514561,1,28,32
59,hvas@google.com,129968,4,14,8
60,mvrfaka8@google.com,1620951,2,12,5
61,wyvvaxil@google.com,1013388,5,38,1
62,vehixmhy480@google.com,127893,5,12,37
63,leoceqxz9@google.com,125718,5,12,32
64,denucj8@google.com,735753,5,12,2
65,xskaoyx902@google.com,2666987,5,12,5
66,gugdgp82@google.com,1114959,2,12,33
67,yqsake@google.com,2579646,2,32,36
68,johrizr@google.com,1369066,2,12,1
69,edwjczmu783@google.com,810992,4,39,31
70,iqzhlzh7675@google.com,1505835,1,39,1
71,fdbpwfcq6672@google.com,125471,4,12,31
72,ibrw6@google.com,858781,4,39,4
73,wtbp656@google.com,130422,2,14,38
74,adcc3677@google.com,250457,5,12,37
75,stpyk2@google.com,607440,1,39,32
76,oampb0002@google.com,1030600,0,38,2
77,ccbr8@google.com,397625,4,32,34
78,wdenot87@google.com,128032,2,12,2
79,ojczdz@google.com,133680,1,39,34
80,vehixmhy480@google.com,917305,0,12,32
81,qrkctmrn@google.com,1956323,2,12,34
82,bsoruqdl2605@google.com,916103,5,14,31
83,japlg@google.com,1800482,4,32,1
84,elakz97@google.com,2710808,0,28,32
85,kvdrs639@google.com,2591878,3,14,1
86,iqifaeaf77@google.com,127803,2,12,4
87,cpbmb9249@google.com,134653,2,39,35
88,yxismg93@google.com,2653721,4,39,1
89,sruk693@google.com,252584,3,12,33
90,ohlhbz2257@google.com,1294268,3,32,32
